gallery_id,processing_time_ms,result,matched_image,descriptor

86,2.185,true,1746911579_Lisa4.jpg,"[-0.11162028461694717,0.01746593602001667,-0.012881435453891754,-0.09219156205654144,-0.13502517342567444,-0.05331394076347351,-0.11381624639034271,-0.05826058238744736,0.19494561851024628,-0.09627407044172287,0.21032854914665222,-0.04572724923491478,-0.17438751459121704,-0.03850999474525452,-0.08374909311532974,0.18956515192985535,-0.16491219401359558,-0.13752330839633942,0.023350853472948074,0.01083469484001398,0.07442579418420792,0.01985415257513523,0.05009828135371208,0.09571573883295059,-0.18288296461105347,-0.3631913661956787,-0.10599248111248016,-0.0633513405919075,-0.16563445329666138,-0.045401230454444885,0.009988876059651375,0.07808747887611389,-0.21139465272426605,-0.023746320977807045,0.0534636527299881,0.18174073100090027,0.007536018267273903,-0.06103559583425522,0.12415327876806259,0.0026463735848665237,-0.29250481724739075,-0.026609767228364944,0.07378114014863968,0.25179949402809143,0.15325045585632324,0.004527781158685684,0.006478598341345787,-0.10910117626190186,0.08082561194896698,-0.14738886058330536,0.008632565848529339,0.14468741416931152,0.021656446158885956,-0.010461323894560337,0.008692624047398567,-0.05329476669430733,0.04705605283379555,0.1891912966966629,-0.08188898116350174,-0.06938678026199341,0.07227027416229248,-0.03754987195134163,0.037206750363111496,-0.13410474359989166,0.26220330595970154,0.07362069934606552,-0.14079216122627258,-0.1689162403345108,0.12587811052799225,-0.14307519793510437,-0.12333126366138458,0.06036652624607086,-0.1671033501625061,-0.2715349495410919,-0.36078310012817383,-0.005437503103166819,0.36127689480781555,0.12751492857933044,-0.1577242910861969,0.10873971879482269,-0.019771592691540718,0.035652317106723785,0.08708903193473816,0.2088342010974884,0.04329396039247513,0.1401144564151764,-0.11568862944841385,-6.496533751487732e-5,0.2769189178943634,-0.0440426841378212,-0.014745820313692093,0.22433796525001526,-0.030155591666698456,0.08835821598768234,0.032462820410728455,-1.5470199286937714e-5,-0.05285103619098663,0.06758104264736176,-0.18575172126293182,0.04323122650384903,-0.03403510898351669,0.03382234275341034,-0.02056747116148472,0.13041910529136658,-0.12858246266841888,0.05292769521474838,-0.0029299380257725716,-0.004570391494780779,-0.039293885231018066,0.0517442487180233,-0.09344217926263809,-0.1455984115600586,0.11166331171989441,-0.22701025009155273,0.12383442372083664,0.1462419033050537,0.10497960448265076,0.15862424671649933,0.14912018179893494,0.08984404802322388,-0.01518489420413971,-0.02358720451593399,-0.22555312514305115,0.044430121779441833,0.07103043049573898,-0.05166105926036835,0.09565329551696777,0.021173588931560516]"
86,1.496,false,,"[-0.08174210786819458,0.004419136792421341,-0.0004134373739361763,-0.08134792745113373,-0.09912566840648651,0.03178323432803154,-0.08412395417690277,-0.05113138630986214,0.20225057005882263,-0.1478997766971588,0.19448061287403107,-0.06110389903187752,-0.19011631608009338,-0.020858703181147575,0.028670266270637512,0.13401536643505096,-0.15188638865947723,-0.14267535507678986,-0.06482470780611038,-0.08107778429985046,0.03984009474515915,0.014748306013643742,-0.07288726419210434,0.08474855124950409,-0.16088736057281494,-0.3266313672065735,-0.0862085148692131,-0.09498075395822525,0.010483799502253532,-0.07801277935504913,-0.09044013172388077,0.03583250939846039,-0.1935139149427414,-0.025900961831212044,0.028229601681232452,0.12546145915985107,-0.03828942030668259,-0.05360133945941925,0.13135381042957306,0.018655285239219666,-0.2505529820919037,0.030503835529088974,0.05508079379796982,0.22327768802642822,0.16457678377628326,0.03392605483531952,-0.03460434824228287,-0.1088840663433075,0.17672716081142426,-0.21995602548122406,0.0732714831829071,0.19696061313152313,0.09097115695476532,0.09889239072799683,0.10084088891744614,-0.17436456680297852,-0.01892910525202751,0.1441168487071991,-0.13389363884925842,0.014728207141160965,-0.0066241305321455,0.0013407636433839798,0.016039986163377762,-0.15815477073192596,0.21425600349903107,0.09752131253480911,-0.14108403027057648,-0.14028403162956238,0.1367047131061554,-0.10997001826763153,-0.06599470973014832,0.09251472353935242,-0.15776178240776062,-0.2602285146713257,-0.3229253590106964,0.11539754271507263,0.4173853099346161,0.16351854801177979,-0.18580487370491028,0.06925636529922485,-0.019615422934293747,-0.067813940346241,0.0741129145026207,0.14321547746658325,-0.024372342973947525,0.0663825273513794,-0.015128305181860924,0.03952934965491295,0.20120610296726227,-0.03273170813918114,0.025284990668296814,0.19490450620651245,-0.03624774515628815,0.07346183061599731,0.00625621248036623,0.08026155829429626,-0.12848685681819916,-0.018331272527575493,-0.1845611333847046,-0.045075882226228714,0.009497806429862976,-0.0281824953854084,-0.005266856402158737,0.11783818900585175,-0.1811695694923401,0.15345175564289093,0.03759986534714699,-0.0637165755033493,-0.06134423241019249,0.05801737308502197,-0.0674060508608818,-0.0489465706050396,0.12471085786819458,-0.28542935848236084,0.16073986887931824,0.153050497174263,0.09806869924068451,0.1869223266839981,0.07826745510101318,0.06313608586788177,-0.016080226749181747,-0.03879537433385849,-0.18134284019470215,-0.02973789907991886,0.07963986694812775,0.0140082947909832,0.0021766237914562225,0.023187093436717987]"
86,1.433,false,,"[-0.12635765969753265,0.06570533663034439,0.07262495905160904,-0.09794140607118607,-0.13623376190662384,-0.019460970535874367,-0.08113992214202881,-0.06918749213218689,0.18832248449325562,-0.09388288110494614,0.18707001209259033,-0.06403472274541855,-0.1302948147058487,0.02475324459373951,-0.03290879726409912,0.18184064328670502,-0.18868890404701233,-0.13963891565799713,-0.0443081371486187,-0.05307343602180481,0.031989455223083496,0.043818552047014236,-0.03435381129384041,0.07305815815925598,-0.10671831667423248,-0.2896316349506378,-0.07457844167947769,-0.051704298704862595,-0.07744133472442627,-0.0978490561246872,0.062227535992860794,0.11146979033946991,-0.17289359867572784,0.012305349111557007,-0.007200746797025204,0.15204474329948425,-0.024062475189566612,-0.08840490132570267,0.12228617072105408,0.01785857602953911,-0.2146035134792328,-0.0789513811469078,0.12988132238388062,0.3185098171234131,0.21123135089874268,0.012515708804130554,-0.024599067866802216,-0.05104212090373039,0.0795561894774437,-0.2617895007133484,-0.0009527313522994518,0.17448139190673828,-0.009854042902588844,0.10615965723991394,0.0580928735435009,-0.1373191773891449,0.04462341219186783,0.10125476121902466,-0.15765441954135895,0.04647006466984749,0.09622165560722351,-0.10191475600004196,0.05997568741440773,-0.1719401478767395,0.3260652720928192,0.14889073371887207,-0.13641367852687836,-0.14078103005886078,0.1269654929637909,-0.1360418200492859,-0.160786435008049,0.0006991084665060043,-0.17965272068977356,-0.22234000265598297,-0.36938565969467163,-0.006353479810059071,0.34694933891296387,0.1612752228975296,-0.15820282697677612,0.0637550875544548,-0.03465956076979637,-0.046619538217782974,0.06924168020486832,0.23024962842464447,0.08461444079875946,0.030571427196264267,-0.07910782098770142,0.010138481855392456,0.24720321595668793,-0.05791307985782623,-0.0013438542373478413,0.20042577385902405,-0.03941808640956879,-0.05854019522666931,-0.05683191865682602,0.03436940908432007,-0.10389938205480576,0.05516209825873375,-0.21632498502731323,0.007398683577775955,-0.13668902218341827,0.02053898200392723,-0.0037118252366781235,0.12249106168746948,-0.11488205194473267,0.13927964866161346,0.04959087446331978,-0.03761523962020874,-0.13487504422664642,-0.019812539219856262,-0.08717431873083115,-0.05869852751493454,0.15988633036613464,-0.19833487272262573,0.1837957501411438,0.15073399245738983,0.10554838180541992,0.19977669417858124,0.0748971700668335,0.17001499235630035,-0.0040303245186805725,-0.007431341335177422,-0.1176968589425087,0.018451619893312454,-0.02588844858109951,0.004915241152048111,0.019351564347743988,0.11233692616224289]"
86,1.463,true,1746911579_Lisa1.jpg,"[-0.09755204617977142,-0.015513960272073746,0.030612830072641373,-0.12426789104938507,-0.14042001962661743,-0.08235838264226913,-0.10347609966993332,-0.039528679102659225,0.17364606261253357,-0.1215505301952362,0.15905623137950897,-0.04107985273003578,-0.155291348695755,-0.013387510553002357,-0.027441974729299545,0.17277975380420685,-0.14454001188278198,-0.13696300983428955,-0.04775366932153702,-0.018252654001116753,0.06514672935009003,0.06775254756212234,-0.009140150621533394,0.08957162499427795,-0.14393585920333862,-0.33139684796333313,-0.07166989892721176,-0.02322305738925934,-0.11627896875143051,-0.060799673199653625,0.03376918286085129,0.10703157633543015,-0.1928560435771942,-0.017463894560933113,0.03990872949361801,0.1834689974784851,0.03821674734354019,-0.07725739479064941,0.09845102578401566,0.025775030255317688,-0.3178185820579529,0.03015907108783722,0.07008680701255798,0.23734375834465027,0.1736409068107605,-0.009501403197646141,-0.001903429627418518,-0.11517103761434555,0.14582492411136627,-0.16005365550518036,-0.021508466452360153,0.10954168438911438,0.008265906013548374,0.022274093702435493,0.03341470658779144,-0.12655526399612427,0.08864022046327591,0.13522915542125702,-0.1263517290353775,-0.06022774428129196,0.0705418735742569,-0.08648267388343811,0.04935485124588013,-0.1236969456076622,0.18984141945838928,0.032370470464229584,-0.10321474075317383,-0.18880268931388855,0.08203637599945068,-0.1474495232105255,-0.09347116947174072,0.11563929915428162,-0.16856428980827332,-0.21063224971294403,-0.3550025522708893,0.01993980072438717,0.35682395100593567,0.14125877618789673,-0.15682189166545868,0.10251671075820923,0.023637590929865837,0.03718803822994232,0.10875334590673447,0.20262472331523895,0.041141025722026825,0.12274760752916336,-0.10388146340847015,0.03869868069887161,0.23726247251033783,-0.01530802994966507,-0.01097693108022213,0.2190474569797516,0.007549757603555918,0.0964687243103981,0.01683157868683338,0.016036055982112885,-0.08526556193828583,0.06603620201349258,-0.16552691161632538,0.03458971902728081,-0.003485629800707102,0.04479802027344704,0.020939631387591362,0.11233873665332794,-0.10969936102628708,0.11567386239767075,-0.017666064202785492,0.006352799013257027,-0.06729602813720703,0.05277049541473389,-0.03858010470867157,-0.08848170936107635,0.08785547316074371,-0.19812791049480438,0.11500930786132812,0.15986451506614685,0.10730802267789841,0.14977163076400757,0.11091329902410507,0.07697180658578873,-0.04561583697795868,-0.002888759598135948,-0.19092248380184174,0.0502997525036335,0.0602419376373291,-0.02618793584406376,0.10692720115184784,0.03216690942645073]"
86,1.489,true,1746911579_Lisa7.jpg,"[-0.07416308671236038,0.00081610307097435,0.04507271945476532,-0.12400807440280914,-0.09650340676307678,-0.08815181255340576,-0.11049897968769073,-0.041078079491853714,0.17376618087291718,-0.1234569400548935,0.23843270540237427,-0.07359779626131058,-0.20721468329429626,-0.0503171943128109,-0.042071208357810974,0.24739328026771545,-0.19329552352428436,-0.13072097301483154,-0.047078751027584076,-0.028059331700205803,0.025629257783293724,0.0399678573012352,-0.0058616348542273045,0.04958155006170273,-0.1531260758638382,-0.34740257263183594,-0.0947374552488327,-0.050268229097127914,-0.10215708613395691,-0.05700919032096863,-0.00812568049877882,0.06751079112291336,-0.19526518881320953,-0.0017454028129577637,0.06305141001939774,0.1367635428905487,0.018866688013076782,-0.08983699977397919,0.10344160348176956,-0.03021446242928505,-0.3037892282009125,-0.001077533233910799,0.11252632737159729,0.25507229566574097,0.1966974437236786,-0.017509210854768753,-0.002879500389099121,-0.13645687699317932,0.12156292051076889,-0.17378978431224823,-0.01613064855337143,0.10214363783597946,0.03688633069396019,0.05071529373526573,0.02809317223727703,-0.09933193027973175,0.053260546177625656,0.18695713579654694,-0.13928855955600739,-0.07472661137580872,0.08448336273431778,-0.056199826300144196,0.021307818591594696,-0.15597319602966309,0.2523164451122284,0.040659260004758835,-0.1906307190656662,-0.19219636917114258,0.07517454773187637,-0.16181236505508423,-0.07078583538532257,0.07563398778438568,-0.16986936330795288,-0.23297926783561707,-0.42951905727386475,-0.004093036986887455,0.35658347606658936,0.14210619032382965,-0.18408241868019104,0.09675377607345581,-0.009119544178247452,0.034386955201625824,0.11140883713960648,0.18739017844200134,0.038361698389053345,0.11222102493047714,-0.1162000298500061,0.00842803344130516,0.2593412697315216,-0.08360166102647781,0.006641097832471132,0.1810193955898285,-0.03919156640768051,0.0630066767334938,-0.0342460498213768,0.03938600420951843,-0.10719262063503265,0.025956951081752777,-0.1753043234348297,0.030461955815553665,-0.05486813187599182,0.03841343894600868,-0.002786858007311821,0.12660859525203705,-0.1105961948633194,0.1192445456981659,0.02930458076298237,-0.006155925337225199,-0.05358646810054779,0.06634646654129028,-0.040633752942085266,-0.1351015567779541,0.0902971550822258,-0.23022913932800293,0.12877927720546722,0.16929805278778076,0.11805984377861023,0.15407150983810425,0.10561469197273254,0.10093338042497635,-0.09280982613563538,-0.002783423289656639,-0.18334731459617615,0.030178675428032875,0.04302099347114563,-0.015155691653490067,0.13917255401611328,0.014953871257603168]"
86,1.403,false,,"[-0.11178130656480789,0.02689412236213684,0.052716415375471115,-0.10599276423454285,-0.1451338678598404,-0.1254025548696518,-0.06261476874351501,-0.08326277136802673,0.07611899077892303,-0.04882052540779114,0.16740718483924866,-0.07617684453725815,-0.16217836737632751,-0.04259530454874039,0.005355953238904476,0.17329338192939758,-0.15304085612297058,-0.15565021336078644,-0.029389042407274246,-0.014245618134737015,0.05593053251504898,0.03473600745201111,-0.020213870331645012,0.13585089147090912,-0.10358752310276031,-0.29686588048934937,-0.11556647717952728,-0.03353170305490494,-0.07789444178342819,-0.028573138639330864,-0.026970749720931053,0.08329591155052185,-0.21961858868598938,-0.04325021058320999,0.07616768777370453,0.168124720454216,0.07364138215780258,-0.0924861803650856,0.06882893294095993,-0.024454720318317413,-0.3040349781513214,0.06619792431592941,0.1688840240240097,0.2342861443758011,0.16643264889717102,0.029991308227181435,0.009445451200008392,-0.09019076824188232,0.09975524991750717,-0.13586211204528809,0.026063168421387672,0.12202713638544083,0.03774089366197586,0.015751982107758522,0.007743340916931629,-0.15366975963115692,0.06399445235729218,0.0784187838435173,-0.17669546604156494,-0.0388127937912941,0.11121364682912827,-0.06988634169101715,0.01388649269938469,-0.17276723682880402,0.20876939594745636,0.08355288952589035,-0.13528260588645935,-0.19231653213500977,0.09316295385360718,-0.2012389451265335,-0.10341876745223999,0.09392404556274414,-0.17880071699619293,-0.17023971676826477,-0.37749138474464417,0.031257085502147675,0.3441097140312195,0.1460370570421219,-0.15787959098815918,0.10950998216867447,0.01448290515691042,0.041302312165498734,0.06964641809463501,0.2126585841178894,0.03922099992632866,0.15794183313846588,-0.10855884850025177,0.06032460927963257,0.23063963651657104,-0.013272617012262344,0.014401821419596672,0.2129993438720703,0.009341561235487461,0.058762695640325546,0.014277111738920212,0.06654902547597885,-0.05039367452263832,-0.0007114410400390625,-0.1771363765001297,0.06942907720804214,-0.051066868007183075,0.014115901663899422,-0.012823585420846939,0.11688776314258575,-0.13774198293685913,0.07347068935632706,-0.0067522176541388035,-0.027909250929951668,-0.14606750011444092,0.017797524109482765,-0.026648838073015213,-0.060091011226177216,0.05885729938745499,-0.23139822483062744,0.1489761471748352,0.1644153892993927,0.08144409954547882,0.11050312221050262,0.06470435112714767,0.07846374064683914,-0.030364392325282097,-0.07202032208442688,-0.1593257486820221,-0.007132108323276043,0.07721371948719025,-0.07806441187858582,0.1262141913175583,0.055398132652044296]"
86,1.719,false,,"[-0.06064148247241974,-0.029771585017442703,0.03520122915506363,-0.08747696876525879,-0.13677458465099335,-0.07338132709264755,-0.08469396829605103,-0.05978294461965561,0.13696619868278503,-0.09037517756223679,0.16538044810295105,-0.04845624789595604,-0.20032204687595367,-0.04168131202459335,0.00013793259859085083,0.17478367686271667,-0.15536540746688843,-0.15552882850170135,-0.04250035807490349,0.018006162717938423,0.023027930408716202,0.09634771198034286,0.030621767044067383,0.08672524243593216,-0.16529573500156403,-0.39053279161453247,-0.09095189720392227,-0.06659538298845291,-0.1325254887342453,-0.029020946472883224,0.025717593729496002,0.09990665316581726,-0.14397940039634705,0.03983113542199135,0.09934993833303452,0.1381385177373886,-0.005745267495512962,-0.0469532273709774,0.11153076589107513,0.03192564845085144,-0.3226458430290222,0.015946878120303154,0.04851710796356201,0.26627397537231445,0.18727199733257294,0.03801394999027252,-0.008436374366283417,-0.1196923553943634,0.16555875539779663,-0.2013629674911499,0.020373249426484108,0.14578363299369812,0.047021277248859406,0.005469974130392075,0.053681764751672745,-0.07827427983283997,0.04054247960448265,0.14154674112796783,-0.2005467414855957,-0.05295456573367119,0.05897071957588196,-0.024800509214401245,0.0455470010638237,-0.17355668544769287,0.17163828015327454,0.03891119360923767,-0.18603286147117615,-0.1584833860397339,0.06611138582229614,-0.22006115317344666,-0.12438855320215225,0.0617111511528492,-0.1694546341896057,-0.24834713339805603,-0.40682896971702576,-0.0319189727306366,0.35213637351989746,0.15220233798027039,-0.1837705373764038,0.026753049343824387,0.010096522979438305,0.04126567393541336,0.062419913709163666,0.15522782504558563,-0.0033294111490249634,0.06787113845348358,-0.11028333753347397,-0.025326263159513474,0.23045730590820312,-0.06366795301437378,-0.004491218365728855,0.24189959466457367,-0.01511521078646183,0.09872575849294662,-0.016560619696974754,0.04215148091316223,-0.09362073242664337,0.04401038587093353,-0.1624738872051239,0.046691447496414185,-0.08294185996055603,0.036925047636032104,0.03383129462599754,0.1270521879196167,-0.14088736474514008,0.17943653464317322,-0.000250471755862236,-0.000998570816591382,-0.0396992526948452,0.0817359983921051,-0.12040349841117859,-0.13956385850906372,0.09416607022285461,-0.23991839587688446,0.10360109061002731,0.17696483433246613,0.1250177025794983,0.14240388572216034,0.07549233734607697,0.058698620647192,-0.1001863032579422,-0.007219366729259491,-0.20129477977752686,-0.0026988815516233444,0.06863970309495926,-0.023629778996109962,0.052575819194316864,0.026369288563728333]"
86,1.441,true,1746911579_Lisa7.jpg,"[-0.10630059242248535,-0.001068800687789917,0.01600145921111107,-0.08796098083257675,-0.1427052915096283,-0.07242690771818161,-0.09048540145158768,-0.0049123866483569145,0.15626662969589233,-0.10212161391973495,0.2119094431400299,-0.10126101225614548,-0.16998547315597534,-0.057544365525245667,-0.0418529286980629,0.24040070176124573,-0.19118936359882355,-0.17657822370529175,-0.0702856108546257,-0.017200959846377373,0.05659351870417595,0.07339339703321457,0.010820327326655388,0.08931180834770203,-0.2117786407470703,-0.37829890847206116,-0.05725035071372986,-0.07576769590377808,-0.12283686548471451,-0.06890329718589783,0.031720973551273346,0.07386679202318192,-0.17013147473335266,0.02280072495341301,0.08740869164466858,0.11373687535524368,0.03264205902814865,-0.06840821355581284,0.15029515326023102,-0.013105535879731178,-0.33579394221305847,0.03772240877151489,0.10262779891490936,0.25026458501815796,0.16405124962329865,0.031891077756881714,-0.010863840579986572,-0.11164739727973938,0.118409164249897,-0.1667681783437729,-0.003877436276525259,0.1468142569065094,0.000863412395119667,0.030772747471928596,-0.0004206651356071234,-0.06043891981244087,0.047302477061748505,0.18795953691005707,-0.2011413425207138,-0.06785701960325241,0.05444234609603882,-0.049291834235191345,0.01273744273930788,-0.12962496280670166,0.20935024321079254,0.08185356110334396,-0.15076689422130585,-0.23213112354278564,0.07952936738729477,-0.20482322573661804,-0.10705869644880295,0.10853671282529831,-0.14956708252429962,-0.23219625651836395,-0.3556535542011261,-0.04145238548517227,0.35250768065452576,0.11085718125104904,-0.18049117922782898,0.07301127165555954,0.030309420078992844,0.022615201771259308,0.10090337693691254,0.16467642784118652,0.023493831977248192,0.06834225356578827,-0.10663388669490814,-0.0007060691714286804,0.27510446310043335,-0.03815296292304993,-0.01783880963921547,0.21294598281383514,0.01007995754480362,0.027550067752599716,0.007869213819503784,0.026466384530067444,-0.07349607348442078,0.049042411148548126,-0.12141118943691254,0.03086579591035843,-0.03288391977548599,0.06301902234554291,-0.0052276067435741425,0.07744166254997253,-0.11151986569166183,0.14799422025680542,-0.013207828626036644,0.003876105882227421,-0.07175961136817932,0.08486341685056686,-0.056175533682107925,-0.10827431827783585,0.09789298474788666,-0.21908673644065857,0.15188364684581757,0.15481379628181458,0.1182648092508316,0.14961063861846924,0.0953645259141922,0.06990811973810196,-0.07082819193601608,0.005854753777384758,-0.20144982635974884,0.0020389817655086517,0.07193068414926529,-0.0492694228887558,0.15854588150978088,0.01837906427681446]"
86,2.232,true,1746911579_Lisa1.jpg,"[-0.06996586173772812,-0.019748413935303688,-0.01574677973985672,-0.10628722608089447,-0.12358865141868591,-0.06163384020328522,-0.09573262184858322,-0.029678283259272575,0.1824488639831543,-0.1028868556022644,0.17171694338321686,-0.07461898773908615,-0.14835743606090546,-0.03990326076745987,-0.024847563356161118,0.2181716412305832,-0.20433557033538818,-0.12557701766490936,-0.01139155775308609,0.0034170823637396097,0.06657658517360687,0.04558777064085007,-0.019444508478045464,0.1100485548377037,-0.21756234765052795,-0.32542768120765686,-0.08592107146978378,-0.10831516981124878,-0.13022823631763458,-0.055880628526210785,-0.011583458632230759,0.0682973712682724,-0.16923749446868896,-0.01640835963189602,0.07799781113862991,0.08537355065345764,0.01487020030617714,-0.10599877685308456,0.1473890095949173,0.009908531792461872,-0.30440565943717957,-0.01806795597076416,0.11835899204015732,0.22581559419631958,0.14449343085289001,0.0006789173930883408,0.009916376322507858,-0.11076092720031738,0.15161412954330444,-0.17017154395580292,-0.03045218251645565,0.12192387133836746,0.0033524204045534134,0.06190745159983635,0.004306563176214695,-0.10366731882095337,0.07132014632225037,0.15106523036956787,-0.16630864143371582,-0.03764369338750839,0.033719807863235474,-0.04749472066760063,0.013776937499642372,-0.11574621498584747,0.25197431445121765,0.0766388475894928,-0.14631953835487366,-0.17690454423427582,0.09145685285329819,-0.14876344799995422,-0.1113489642739296,0.0586458221077919,-0.1739787757396698,-0.25575530529022217,-0.35534512996673584,-0.03942880779504776,0.33256688714027405,0.12991181015968323,-0.17306312918663025,0.10914298892021179,0.002650132169947028,0.0059796106070280075,0.10283927619457245,0.22174440324306488,0.05447157099843025,0.11963894963264465,-0.03611136972904205,0.0342060849070549,0.26857924461364746,-0.06805337220430374,0.02078571915626526,0.21309742331504822,-0.022884294390678406,0.06128828972578049,-0.005441615357995033,0.019820190966129303,-0.07756048440933228,0.05195353552699089,-0.1136612668633461,0.04565872251987457,0.029826758429408073,0.05063791573047638,0.0366855263710022,0.12897688150405884,-0.16233226656913757,0.12384410202503204,0.015902632847428322,-0.021882954984903336,-0.044358089566230774,0.05086952820420265,-0.053971558809280396,-0.09023900330066681,0.10036143660545349,-0.20527219772338867,0.16682928800582886,0.14257995784282684,0.09239237755537033,0.15134945511817932,0.06973709166049957,0.06372882425785065,-0.056550282984972,-0.00746333971619606,-0.2111380398273468,0.033660613000392914,0.08860143274068832,-0.0378238782286644,0.11697129160165787,-0.0022473670542240143]"
